# Comparing packages installed on Amazon Linux 2023 Images
# https://docs.aws.amazon.com/en_us/linux/al2023/ug/image-comparison.html
# Excluded: amazon-linux-repo-s3 coreutils grub2-efi-aa64-ec2 grub2-efi-x64-ec2 microcode_ctl
Package                          AMI              Minimal AMI      Container       Install?
perl-Errno                       1.3              -                -               YES
perl-Exporter                    5.74             -                -               YES
perl-Fcntl                       1.13             -                -               YES
perl-File-Basename               2.85             -                -               YES
perl-File-Path                   2.18             -                -               YES
perl-File-stat                   1.09             -                -               YES
perl-File-Temp                   0.231.100        -                -               YES
perl-Getopt-Long                 2.52             -                -               YES
perl-Getopt-Std                  1.12             -                -               YES
perl-HTTP-Tiny                   0.078            -                -               YES
perl-if                          0.60.800         -                -               YES
perl-interpreter                 5.32.1           -                -               YES
perl-IO                          1.43             -                -               YES
perl-IPC-Open3                   1.21             -                -               YES
perl-libs                        5.32.1           -                -               YES
perl-MIME-Base64                 3.16             -                -               YES
perl-mro                         1.23             -                -               YES
perl-overload                    1.31             -                -               YES
perl-overloading                 0.02             -                -               YES
perl-parent                      0.238            -                -               YES
perl-PathTools                   3.78             -                -               YES
perl-Pod-Escapes                 1.07             -                -               YES
perl-podlators                   4.14             -                -               YES
perl-Pod-Perldoc                 3.28.01          -                -               YES
perl-Pod-Simple                  3.42             -                -               YES
perl-Pod-Usage                   2.01             -                -               YES
perl-POSIX                       1.94             -                -               YES
perl-Scalar-List-Utils           1.56             -                -               YES
perl-SelectSaver                 1.02             -                -               YES
perl-Socket                      2.032            -                -               YES
perl-srpm-macros                 1                -                -               YES
perl-Storable                    3.21             -                -               YES
perl-subs                        1.03             -                -               YES
perl-Symbol                      1.08             -                -               YES
perl-Term-ANSIColor              5.01             -                -               YES
perl-Term-Cap                    1.17             -                -               YES
perl-Text-ParseWords             3.3              -                -               YES
perl-Text-Tabs+Wrap              2021.0726        -                -               YES
perl-Time-Local                  1.3              -                -               YES
perl-vars                        1.05             -                -               YES
pkgconf                          1.8.0            -                -               YES
pkgconf-m4                       1.8.0            -                -               YES
pkgconf-pkg-config               1.8.0            -                -               YES
policycoreutils                  3.4              3.4              -               YES
policycoreutils-python-utils     3.4              -                -               YES
popt                             1.18             1.18             1.18            NO
procps-ng                        3.3.17           3.3.17           -               YES
protobuf-c                       1.4.1            -                -               YES
psacct                           6.6.4            -                -               YES
psmisc                           23.4             23.4             -               YES
publicsuffix-list-dafsa          20240212         20240212         20240212        NO
python3                          3.9.16           3.9.16           3.9.16          NO
python3-attrs                    20.3.0           20.3.0           -               YES
python3-audit                    3.0.6            3.0.6            -               YES
python3-awscrt                   0.19.19          0.19.19          -               YES
python3-babel                    2.9.1            2.9.1            -               YES
python3-cffi                     1.14.5           1.14.5           -               YES
python3-chardet                  4.0.0            4.0.0            -               YES
python3-colorama                 0.4.4            0.4.4            -               YES
python3-configobj                5.0.6            5.0.6            -               YES
python3-cryptography             36.0.1           36.0.1           -               YES
python3-daemon                   2.3.0            -                -               YES
python3-dateutil                 2.8.1            2.8.1            -               YES
python3-dbus                     1.2.18           1.2.18           -               YES
python3-distro                   1.5.0            1.5.0            -               YES
python3-dnf                      4.14.0           4.14.0           4.14.0          NO
python3-dnf-plugins-core         4.3.0            4.3.0            -               YES
python3-docutils                 0.16             0.16             -               YES
python3-gpg                      1.15.1           1.15.1           1.15.1          NO
python3-hawkey                   0.69.0           0.69.0           0.69.0          NO
python3-idna                     2.1              2.1              -               YES
python3-jinja2                   2.11.3           2.11.3           -               YES
python3-jmespath                 0.10.0           0.10.0           -               YES
python3-jsonpatch                1.21             1.21             -               YES
python3-jsonpointer              2                2                -               YES
python3-jsonschema               3.2.0            3.2.0            -               YES
python3-libcomps                 0.1.20           0.1.20           0.1.20          NO
python3-libdnf                   0.69.0           0.69.0           0.69.0          NO
python3-libs                     3.9.16           3.9.16           3.9.16          NO
python3-libselinux               3.4              3.4              -               YES
python3-libsemanage              3.4              3.4              -               YES
python3-libstoragemgmt           1.9.4            -                -               YES
python3-lockfile                 0.12.2           -                -               YES
python3-markupsafe               1.1.1            1.1.1            -               YES
python3-netifaces                0.10.6           0.10.6           -               YES
python3-oauthlib                 3.0.2            3.0.2            -               YES
python3-pip-wheel                21.3.1           21.3.1           21.3.1          NO
python3-ply                      3.11             3.11             -               YES
python3-policycoreutils          3.4              3.4              -               YES
python3-prettytable              0.7.2            0.7.2            -               YES
python3-prompt-toolkit           3.0.24           3.0.24           -               YES
python3-pycparser                2.2              2.2              -               YES
python3-pyrsistent               0.17.3           0.17.3           -               YES
python3-pyserial                 3.4              3.4              -               YES
python3-pysocks                  1.7.1            1.7.1            -               YES
python3-pytz                     2022.7.1         2022.7.1         -               YES
python3-pyyaml                   5.4.1            5.4.1            -               YES
python3-requests                 2.25.1           2.25.1           -               YES
python3-rpm                      4.16.1.3         4.16.1.3         4.16.1.3        NO
python3-ruamel-yaml              0.16.6           0.16.6           -               YES
python3-ruamel-yaml-clib         0.1.2            0.1.2            -               YES
python3-setools                  4.4.1            4.4.1            -               YES
python3-setuptools               59.6.0           59.6.0           -               YES
python3-setuptools-wheel         59.6.0           59.6.0           59.6.0          NO
python3-six                      1.15.0           1.15.0           -               YES
python3-systemd                  235              235              -               YES
python3-urllib3                  1.25.10          1.25.10          -               YES
python3-wcwidth                  0.2.5            0.2.5            -               YES
python-chevron                   0.13.1           -                -               YES
python-srpm-macros               3.9              -                -               YES
quota                            4.06             -                -               YES
quota-nls                        4.06             -                -               YES
readline                         8.1              8.1              8.1             NO
rng-tools                        6.14             6.14             -               YES
rootfiles                        8.1              8.1              -               YES
rpcbind                          1.2.6            -                -               YES
rpm                              4.16.1.3         4.16.1.3         4.16.1.3        NO
rpm-build-libs                   4.16.1.3         4.16.1.3         4.16.1.3        NO
rpm-libs                         4.16.1.3         4.16.1.3         4.16.1.3        NO
rpm-plugin-selinux               4.16.1.3         4.16.1.3         -               YES
rpm-plugin-systemd-inhibit       4.16.1.3         4.16.1.3         -               YES
rpm-sign-libs                    4.16.1.3         4.16.1.3         4.16.1.3        NO
rsync                            3.2.6            -                -               YES
rust-srpm-macros                 21               -                -               YES
sbsigntools                      0.9.4            0.9.4            -               YES
screen                           4.8.0            -                -               YES
sed                              4.8              4.8              4.8             NO
selinux-policy                   37.22            37.22            -               YES
selinux-policy-targeted          37.22            37.22            -               YES
setup                            2.13.7           2.13.7           2.13.7          NO
shadow-utils                     4.9              4.9              -               YES
slang                            2.3.2            -                -               YES
sqlite-libs                      3.40.0           3.40.0           3.40.0          NO
sssd-client                      2.9.4            -                -               YES
sssd-common                      2.9.4            -                -               YES
sssd-kcm                         2.9.4            -                -               YES
sssd-nfs-idmap                   2.9.4            -                -               YES
strace                           6.8              -                -               YES
sudo                             1.9.15           1.9.15           -               YES
sysctl-defaults                  1                1                -               YES
sysstat                          12.5.6           -                -               YES
systemd                          252.16           252.16           -               YES
systemd-libs                     252.16           252.16           -               YES
systemd-networkd                 252.16           252.16           -               YES
systemd-pam                      252.16           252.16           -               YES
systemd-resolved                 252.16           252.16           -               YES
systemd-udev                     252.16           252.16           -               YES
system-release                   2023.4.20240513  2023.4.20240513  2023.4.20240513 NO
